measure,location,sex,age,cause,metric,year,val,upper,lower
Incidence,Colombia,Male,70 to 74,Ischemic heart disease,Number,2019,5838.054356481905,7116.738102742352,4532.3431917657645
Incidence,Colombia,Female,70 to 74,Ischemic heart disease,Number,2019,4394.180479124927,5429.225531989816,3390.508755908337
Incidence,Colombia,Both,70 to 74,Ischemic heart disease,Number,2019,10232.234835606832,12453.673155696399,8007.575548644757
Incidence,Colombia,Male,75 to 79,Ischemic heart disease,Number,2019,4985.691502083414,6410.609621524475,3815.351951648865
Incidence,Colombia,Female,75 to 79,Ischemic heart disease,Number,2019,4135.297137633329,5464.367859960948,3051.69405933148
Incidence,Colombia,Both,75 to 79,Ischemic heart disease,Number,2019,9120.988639716745,11736.12461515321,6879.344549167311
Incidence,Colombia,Male,80 plus,Ischemic heart disease,Number,2019,11599.144460907231,13759.188666446502,9851.674439687646
Incidence,Colombia,Female,80 plus,Ischemic heart disease,Number,2019,12795.038912299044,14963.404408474502,10881.46645968193
Incidence,Colombia,Both,80 plus,Ischemic heart disease,Number,2019,24394.183373206273,28588.34591923108,20956.473791308043
Incidence,Colombia,Male,All Ages,Ischemic heart disease,Number,2019,51488.10028837442,58122.283533279355,45692.33127222543
Incidence,Colombia,Female,All Ages,Ischemic heart disease,Number,2019,39835.69537569034,45191.130996981934,35089.48077657812
Incidence,Colombia,Both,All Ages,Ischemic heart disease,Number,2019,91323.79566406476,102931.2417789636,81139.6191759033
Incidence,Colombia,Male,5-14 years,Ischemic heart disease,Number,2019,0.0,0.0,0.0
Incidence,Colombia,Female,5-14 years,Ischemic heart disease,Number,2019,0.0,0.0,0.0
Incidence,Colombia,Both,5-14 years,Ischemic heart disease,Number,2019,0.0,0.0,0.0
Incidence,Colombia,Male,15-49 years,Ischemic heart disease,Number,2019,6339.625620212786,7907.696914187726,5006.20724784869
Incidence,Colombia,Female,15-49 years,Ischemic heart disease,Number,2019,3761.465152126072,4645.423913860957,2943.4974648162006
Incidence,Colombia,Both,15-49 years,Ischemic heart disease,Number,2019,10101.090772338855,12451.075333970151,7980.037692369126
Incidence,Colombia,Male,50-69 years,Ischemic heart disease,Number,2019,22725.584348689095,28293.8946763799,18388.39829449561
Incidence,Colombia,Female,50-69 years,Ischemic heart disease,Number,2019,14749.713694506965,18263.44563571009,11562.516359125815
Incidence,Colombia,Both,50-69 years,Ischemic heart disease,Number,2019,37475.29804319605,46511.998466705045,30232.00616794869
Incidence,Colombia,Male,70+ years,Ischemic heart disease,Number,2019,22422.89031947255,25780.70680661428,19396.119855405566
Incidence,Colombia,Female,70+ years,Ischemic heart disease,Number,2019,21324.516529057302,24696.239761688033,18116.72784648571
Incidence,Colombia,Both,70+ years,Ischemic heart disease,Number,2019,43747.40684852985,50232.68119678076,37756.144353063195
Incidence,Colombia,Male,<1 year,Ischemic heart disease,Number,2019,0.0,0.0,0.0
Incidence,Colombia,Female,<1 year,Ischemic heart disease,Number,2019,0.0,0.0,0.0
Incidence,Colombia,Both,<1 year,Ischemic heart disease,Number,2019,0.0,0.0,0.0
Incidence,Colombia,Male,80 to 84,Ischemic heart disease,Number,2019,4456.920497472656,5475.638265027185,3622.1234950561466
Incidence,Colombia,Female,80 to 84,Ischemic heart disease,Number,2019,4393.324663313912,5384.934554133824,3447.125177422233
Incidence,Colombia,Both,80 to 84,Ischemic heart disease,Number,2019,8850.24516078657,10801.177807561211,7100.787433838272
Incidence,Colombia,Male,85 to 89,Ischemic heart disease,Number,2019,3402.343841893976,4249.340044651991,2669.346103854137
Incidence,Colombia,Female,85 to 89,Ischemic heart disease,Number,2019,3863.7316840029407,4897.497853889918,3006.5299310898904
Incidence,Colombia,Both,85 to 89,Ischemic heart disease,Number,2019,7266.075525896917,9094.766521708092,5780.67526038149
Incidence,Colombia,Male,90 to 94,Ischemic heart disease,Number,2019,2351.869137270221,2839.3798633321103,1940.120266557799
Incidence,Colombia,Female,90 to 94,Ischemic heart disease,Number,2019,2872.1975994001423,3422.8743490738734,2364.8084575265043
Incidence,Colombia,Both,90 to 94,Ischemic heart disease,Number,2019,5224.066736670363,6223.497919245142,4345.918570830866
Incidence,Colombia,Male,20 plus,Ischemic heart disease,Number,2019,51388.73892750694,58012.31396182452,45633.06684788115
Incidence,Colombia,Female,20 plus,Ischemic heart disease,Number,2019,39759.48247867628,45105.92392688674,35021.821064933945
Incidence,Colombia,Both,20 plus,Ischemic heart disease,Number,2019,91148.22140618319,102748.17717660642,80993.28439031496
Incidence,Colombia,Male,0 to 14,Ischemic heart disease,Number,2019,0.0,0.0,0.0
Incidence,Colombia,Female,0 to 14,Ischemic heart disease,Number,2019,0.0,0.0,0.0
Incidence,Colombia,Both,0 to 14,Ischemic heart disease,Number,2019,0.0,0.0,0.0
Incidence,Colombia,Male,50 to 74 years,Ischemic heart disease,Number,2019,28563.638705170997,34616.72861926178,23564.30862450643
Incidence,Colombia,Female,50 to 74 years,Ischemic heart disease,Number,2019,19143.894173631892,23156.454858547728,15463.438847779506
Incidence,Colombia,Both,50 to 74 years,Ischemic heart disease,Number,2019,47707.53287880287,57414.20240878771,39289.22806841425
Incidence,Colombia,Male,Neonatal,Ischemic heart disease,Number,2019,0.0,0.0,0.0
Incidence,Colombia,Female,Neonatal,Ischemic heart disease,Number,2019,0.0,0.0,0.0
Incidence,Colombia,Both,Neonatal,Ischemic heart disease,Number,2019,0.0,0.0,0.0
Incidence,Colombia,Male,25 plus,Ischemic heart disease,Number,2019,51056.46928594104,57643.695452858075,45338.174089649445
Incidence,Colombia,Female,25 plus,Ischemic heart disease,Number,2019,39516.73564308611,44884.76250803817,34774.734431934645
Incidence,Colombia,Both,25 plus,Ischemic heart disease,Number,2019,90573.20492902715,102001.66979900686,80330.90230416776
Incidence,Colombia,Male,<20 years,Ischemic heart disease,Number,2019,99.3613608674842,213.80792667307895,14.77449249064305
Incidence,Colombia,Female,<20 years,Ischemic heart disease,Number,2019,76.21289701406364,166.36104273562466,10.956040268237915
Incidence,Colombia,Both,<20 years,Ischemic heart disease,Number,2019,175.57425788154785,375.60599918217065,35.90147942694401
Incidence,Colombia,Male,10 to 24,Ischemic heart disease,Number,2019,431.6310024333811,698.2399784604794,230.10310956644332
Incidence,Colombia,Female,10 to 24,Ischemic heart disease,Number,2019,318.95973260422284,531.3700469663013,155.90909263600975
Incidence,Colombia,Both,10 to 24,Ischemic heart disease,Number,2019,750.5907350376038,1240.8721242157155,411.0649245241208
Incidence,Colombia,Male,85 plus,Ischemic heart disease,Number,2019,7142.223963434577,8615.687164490337,5904.495256207134
Incidence,Colombia,Female,85 plus,Ischemic heart disease,Number,2019,8401.714248985132,10000.921488568987,7045.811473190317
Incidence,Colombia,Both,85 plus,Ischemic heart disease,Number,2019,15543.938212419709,18570.79263515306,13087.890665089946
Incidence,Colombia,Male,10 to 54,Ischemic heart disease,Number,2019,10404.333271921265,12776.956611250256,8489.521119560786
Incidence,Colombia,Female,10 to 54,Ischemic heart disease,Number,2019,6159.946232353656,7464.708366812556,5005.305732045142
Incidence,Colombia,Both,10 to 54,Ischemic heart disease,Number,2019,16564.27950427492,20140.329470192646,13612.259364423071
Incidence,Colombia,Male,0 to 9,Ischemic heart disease,Number,2019,0.0,0.0,0.0
Incidence,Colombia,Female,0 to 9,Ischemic heart disease,Number,2019,0.0,0.0,0.0
Incidence,Colombia,Both,0 to 9,Ischemic heart disease,Number,2019,0.0,0.0,0.0
Incidence,Colombia,Male,5 to 19,Ischemic heart disease,Number,2019,99.36136086748418,213.80792667307892,14.774492490643047
Incidence,Colombia,Female,5 to 19,Ischemic heart disease,Number,2019,76.21289701406364,166.36104273562466,10.956040268237917
Incidence,Colombia,Both,5 to 19,Ischemic heart disease,Number,2019,175.57425788154785,375.6059991821707,35.90147942694401
Incidence,Colombia,Male,15 to 39,Ischemic heart disease,Number,2019,2573.4346328504867,3397.6599621254895,1912.1980870581644
Incidence,Colombia,Female,15 to 39,Ischemic heart disease,Number,2019,1673.9800315034186,2189.776981784293,1209.8594162301288
Incidence,Colombia,Both,15 to 39,Ischemic heart disease,Number,2019,4247.414664353905,5537.0143296261895,3160.046270209854
Incidence,Colombia,Male,25 to 49,Ischemic heart disease,Number,2019,5907.994617779404,7418.0281767549695,4614.587114430631
Incidence,Colombia,Female,25 to 49,Ischemic heart disease,Number,2019,3442.5054195218495,4274.409338052232,2680.1235355317817
Incidence,Colombia,Both,25 to 49,Ischemic heart disease,Number,2019,9350.500037301254,11629.766146466454,7287.063395336991
Incidence,Colombia,Male,55 plus,Ischemic heart disease,Number,2019,41083.76701645316,47246.857321821386,35699.16273167567
Incidence,Colombia,Female,55 plus,Ischemic heart disease,Number,2019,33675.74914333668,38546.65763026548,29432.314413582888
Incidence,Colombia,Both,55 plus,Ischemic heart disease,Number,2019,74759.51615978986,85786.10198511086,65782.73470707866
Incidence,Colombia,Male,60 to 79,Ischemic heart disease,Number,2019,23697.287458113376,28216.71120185415,19906.749365390067
Incidence,Colombia,Female,60 to 79,Ischemic heart disease,Number,2019,17293.577191981076,20664.831888333265,14052.844399080775
Incidence,Colombia,Both,60 to 79,Ischemic heart disease,Number,2019,40990.86465009445,48561.909047546134,34031.399214863726
Incidence,Colombia,Male,65 to 74,Ischemic heart disease,Number,2019,12237.500996787976,15277.804588591205,9427.730041702054
Incidence,Colombia,Female,65 to 74,Ischemic heart disease,Number,2019,8863.0588509329,11193.978134172368,6667.732893524891
Incidence,Colombia,Both,65 to 74,Ischemic heart disease,Number,2019,21100.55984772088,26498.103041028295,16108.326879512126
Incidence,Colombia,Male,75 plus,Ischemic heart disease,Number,2019,16584.835962990648,19499.577818210873,14110.87968136397
Incidence,Colombia,Female,75 plus,Ischemic heart disease,Number,2019,16930.33604993237,19770.120516141607,14194.510459406712
Incidence,Colombia,Both,75 plus,Ischemic heart disease,Number,2019,33515.172012923016,38854.29646475074,28260.279860930234
Incidence,Colombia,Male,95 plus,Ischemic heart disease,Number,2019,1388.0109842703807,1814.9943204967085,1019.8066132417047
Incidence,Colombia,Female,95 plus,Ischemic heart disease,Number,2019,1665.784965582049,2150.0653168040726,1235.2139626665883
Incidence,Colombia,Both,95 plus,Ischemic heart disease,Number,2019,3053.7959498524297,3937.886508189432,2255.0767018735337
Incidence,Colombia,Male,75 to 84,Ischemic heart disease,Number,2019,9442.611999556068,11792.474079857573,7520.008067796998
Incidence,Colombia,Female,75 to 84,Ischemic heart disease,Number,2019,8528.621800947241,10845.032463771544,6612.1884089522
Incidence,Colombia,Both,75 to 84,Ischemic heart disease,Number,2019,17971.233800503313,22208.297917965156,14170.5113047335
Incidence,Colombia,Male,20 to 54 years,Ischemic heart disease,Number,2019,10304.97191105378,12657.604835307373,8399.972326944659
Incidence,Colombia,Female,20 to 54 years,Ischemic heart disease,Number,2019,6083.7333353395925,7372.500150037611,4917.8064096503285
Incidence,Colombia,Both,20 to 54 years,Ischemic heart disease,Number,2019,16388.705246393372,19932.990228111197,13403.244157095412
Incidence,Colombia,Male,55 to 89 years,Ischemic heart disease,Number,2019,37343.88689491256,43377.398824376316,32315.86132414693
Incidence,Colombia,Female,55 to 89 years,Ischemic heart disease,Number,2019,29137.766578354487,33899.72385719795,24996.138596968765
Incidence,Colombia,Both,55 to 89 years,Ischemic heart disease,Number,2019,66481.65347326706,77191.59356610659,57259.55308905301
Incidence,Colombia,Male,60 to 89 years,Ischemic heart disease,Number,2019,31556.55179748001,36659.33760775528,27309.6692239751
Incidence,Colombia,Female,60 to 89 years,Ischemic heart disease,Number,2019,25550.63353929793,29540.704834810535,21770.666441312223
Incidence,Colombia,Both,60 to 89 years,Ischemic heart disease,Number,2019,57107.18533677793,65672.4132129663,49123.58445676782
Incidence,Colombia,Male,65 to 89 years,Ischemic heart disease,Number,2019,25082.456838238024,29118.89697242163,21332.798298932095
Incidence,Colombia,Female,65 to 89 years,Ischemic heart disease,Number,2019,21255.412335883084,24954.453954820645,17934.708345909832
Incidence,Colombia,Both,65 to 89 years,Ischemic heart disease,Number,2019,46337.86917412111,53439.64032776831,39560.38577783269
Incidence,Colombia,Male,70 to 89 years,Ischemic heart disease,Number,2019,18683.01019793195,21864.695586140893,15854.685639302737
Incidence,Colombia,Female,70 to 89 years,Ischemic heart disease,Number,2019,16786.53396407511,19936.54861411755,13862.58061014645
Incidence,Colombia,Both,70 to 89 years,Ischemic heart disease,Number,2019,35469.54416200706,41396.89208114772,29844.122760500893
Incidence,Colombia,Male,75 to 94 years,Ischemic heart disease,Number,2019,15196.824978720266,17986.368016223205,12739.337171804535
Incidence,Colombia,Female,75 to 94 years,Ischemic heart disease,Number,2019,15264.551084350325,18066.306845143095,12617.844485881269
Incidence,Colombia,Both,75 to 94 years,Ischemic heart disease,Number,2019,30461.376063070587,35612.6039312171,25550.392275454917
Incidence,Colombia,Male,<70 years,Ischemic heart disease,Number,2019,29065.209968901876,34901.139594335764,24339.412623807653
Incidence,Colombia,Female,<70 years,Ischemic heart disease,Number,2019,18511.178846633033,22161.821841278153,15085.24158020759
Incidence,Colombia,Both,<70 years,Ischemic heart disease,Number,2019,47576.38881553493,56740.300644225885,39576.10701301043
Incidence,Global,Male,Under 5,Ischemic heart disease,Number,2019,0.0,0.0,0.0
Incidence,Global,Female,Under 5,Ischemic heart disease,Number,2019,0.0,0.0,0.0
Incidence,Global,Both,Under 5,Ischemic heart disease,Number,2019,0.0,0.0,0.0
Incidence,Global,Male,Early Neonatal,Ischemic heart disease,Number,2019,0.0,0.0,0.0
Incidence,Global,Female,Early Neonatal,Ischemic heart disease,Number,2019,0.0,0.0,0.0
Incidence,Global,Both,Early Neonatal,Ischemic heart disease,Number,2019,0.0,0.0,0.0
Incidence,Global,Male,Late Neonatal,Ischemic heart disease,Number,2019,0.0,0.0,0.0
Incidence,Global,Female,Late Neonatal,Ischemic heart disease,Number,2019,0.0,0.0,0.0
Incidence,Global,Both,Late Neonatal,Ischemic heart disease,Number,2019,0.0,0.0,0.0
Incidence,Global,Male,Post Neonatal,Ischemic heart disease,Number,2019,0.0,0.0,0.0
Incidence,Global,Female,Post Neonatal,Ischemic heart disease,Number,2019,0.0,0.0,0.0
Incidence,Global,Both,Post Neonatal,Ischemic heart disease,Number,2019,0.0,0.0,0.0
Incidence,Global,Male,1 to 4,Ischemic heart disease,Number,2019,0.0,0.0,0.0
Incidence,Global,Female,1 to 4,Ischemic heart disease,Number,2019,0.0,0.0,0.0
Incidence,Global,Both,1 to 4,Ischemic heart disease,Number,2019,0.0,0.0,0.0
Incidence,Global,Male,5 to 9,Ischemic heart disease,Number,2019,0.0,0.0,0.0
Incidence,Global,Female,5 to 9,Ischemic heart disease,Number,2019,0.0,0.0,0.0
Incidence,Global,Both,5 to 9,Ischemic heart disease,Number,2019,0.0,0.0,0.0
Incidence,Global,Male,10 to 14,Ischemic heart disease,Number,2019,0.0,0.0,0.0
Incidence,Global,Female,10 to 14,Ischemic heart disease,Number,2019,0.0,0.0,0.0
Incidence,Global,Both,10 to 14,Ischemic heart disease,Number,2019,0.0,0.0,0.0
Incidence,Global,Male,15 to 19,Ischemic heart disease,Number,2019,16025.732542181811,32763.922131023653,4492.78423998106
Incidence,Global,Female,15 to 19,Ischemic heart disease,Number,2019,12960.033688965437,27073.911019606552,3433.231867575863
Incidence,Global,Both,15 to 19,Ischemic heart disease,Number,2019,28985.766231147252,59786.13054705907,7573.659684090161
Incidence,Global,Male,20 to 24,Ischemic heart disease,Number,2019,50994.083523425536,75169.23649468849,33372.57479402467
Incidence,Global,Female,20 to 24,Ischemic heart disease,Number,2019,39807.81321565203,59687.599887734505,24835.975066386927
Incidence,Global,Both,20 to 24,Ischemic heart disease,Number,2019,90801.89673907757,134211.29741191652,58212.1110264373
Incidence,Global,Male,25 to 29,Ischemic heart disease,Number,2019,90906.22336871533,130587.55984063254,55056.64749656742
Incidence,Global,Female,25 to 29,Ischemic heart disease,Number,2019,69561.2853359212,100164.85569368667,42869.467897298884
Incidence,Global,Both,25 to 29,Ischemic heart disease,Number,2019,160467.5087046365,230783.8988561415,98186.31289487168
Incidence,Global,Male,30 to 34,Ischemic heart disease,Number,2019,138535.4231022212,180531.70959850517,99078.89668523909
Incidence,Global,Female,30 to 34,Ischemic heart disease,Number,2019,94777.65459667178,124750.61824655063,65601.17224687616
Incidence,Global,Both,30 to 34,Ischemic heart disease,Number,2019,233313.07769889294,305072.96708105184,164782.167409495
Incidence,Global,Male,35 to 39,Ischemic heart disease,Number,2019,177169.04396963428,260476.34253736114,117931.29644029947
Incidence,Global,Female,35 to 39,Ischemic heart disease,Number,2019,104835.52954672686,154121.2895059865,68766.76958457375
Incidence,Global,Both,35 to 39,Ischemic heart disease,Number,2019,282004.5735163611,414133.99704450875,190752.28684217882
Incidence,Global,Male,40 to 44,Ischemic heart disease,Number,2019,357321.168595423,449933.0077255188,276790.69941140537
Incidence,Global,Female,40 to 44,Ischemic heart disease,Number,2019,168436.89514279534,219104.04287656033,126015.59929196537
Incidence,Global,Both,40 to 44,Ischemic heart disease,Number,2019,525758.0637382183,667215.024246848,403645.65216987726
Incidence,Global,Male,45 to 49,Ischemic heart disease,Number,2019,653947.4189597163,851024.5723105755,461846.6912955741
Incidence,Global,Female,45 to 49,Ischemic heart disease,Number,2019,280313.79561072425,379857.3056317087,195020.05075063888
Incidence,Global,Both,45 to 49,Ischemic heart disease,Number,2019,934261.2145704407,1228290.9146937649,656911.7105594833
Incidence,Global,Male,50 to 54,Ischemic heart disease,Number,2019,1084120.7983946071,1337994.9666157716,872602.785214968
Incidence,Global,Female,50 to 54,Ischemic heart disease,Number,2019,459787.6280095983,583603.8853593522,358740.34742987424
Incidence,Global,Both,50 to 54,Ischemic heart disease,Number,2019,1543908.4264042054,1924082.404276604,1228175.7435051373
Incidence,Global,Male,55 to 59,Ischemic heart disease,Number,2019,1520519.7933323716,1999818.4538668778,1114397.3599370592
Incidence,Global,Female,55 to 59,Ischemic heart disease,Number,2019,647482.0379449561,883690.4604063232,448217.00543396734
Incidence,Global,Both,55 to 59,Ischemic heart disease,Number,2019,2168001.8312773276,2880351.1409097025,1558902.5069780776
Incidence,Global,Male,60 to 64,Ischemic heart disease,Number,2019,1751601.185096003,2169411.2848596633,1420016.6751616874
Incidence,Global,Female,60 to 64,Ischemic heart disease,Number,2019,890478.7036663328,1110493.4450519832,703688.5062128498
Incidence,Global,Both,60 to 64,Ischemic heart disease,Number,2019,2642079.8887623358,3275528.3954596594,2121356.4721432156
Incidence,Global,Male,65 to 69,Ischemic heart disease,Number,2019,1775034.7491974058,2213370.0450956286,1344885.5570653363
Incidence,Global,Female,65 to 69,Ischemic heart disease,Number,2019,1112297.841441,1408976.1240408167,823202.6849770574
Incidence,Global,Both,65 to 69,Ischemic heart disease,Number,2019,2887332.5906384056,3615589.3549758405,2171446.850991185
Incidence,Global,Male,70 to 74,Ischemic heart disease,Number,2019,1580015.4098137412,1887009.802145898,1270420.2801983776
Incidence,Global,Female,70 to 74,Ischemic heart disease,Number,2019,1132398.818992307,1348642.681193281,911758.4515622405
Incidence,Global,Both,70 to 74,Ischemic heart disease,Number,2019,2712414.228806048,3236687.0088531137,2179414.0535865943
Incidence,Global,Male,75 to 79,Ischemic heart disease,Number,2019,1278519.9547897114,1665053.6735180716,992953.4784645041
Incidence,Global,Female,75 to 79,Ischemic heart disease,Number,2019,1086640.895490312,1431843.325149018,835719.7413873671
Incidence,Global,Both,75 to 79,Ischemic heart disease,Number,2019,2365160.8502800236,3104281.2411439037,1833007.0461095881
Incidence,Global,Male,80 plus,Ischemic heart disease,Number,2019,2057323.446551545,2417590.907293066,1746197.3237756288
Incidence,Global,Female,80 plus,Ischemic heart disease,Number,2019,2571665.8537466917,3033388.4194793035,2175765.2463058736
Incidence,Global,Both,80 plus,Ischemic heart disease,Number,2019,4628989.300298237,5465487.1487369025,3909370.681935406
Incidence,Global,Male,All Ages,Ischemic heart disease,Number,2019,12532034.431236701,14022524.81017834,11092085.60269311
Incidence,Global,Female,All Ages,Ischemic heart disease,Number,2019,8671444.786428656,9677404.26905693,7705187.216935856
Incidence,Global,Both,All Ages,Ischemic heart disease,Number,2019,21203479.217665356,23704123.882632077,18799321.60638408
Incidence,Global,Male,5-14 years,Ischemic heart disease,Number,2019,0.0,0.0,0.0
Incidence,Global,Female,5-14 years,Ischemic heart disease,Number,2019,0.0,0.0,0.0
Incidence,Global,Both,5-14 years,Ischemic heart disease,Number,2019,0.0,0.0,0.0
Incidence,Global,Male,15-49 years,Ischemic heart disease,Number,2019,1484899.0940613176,1825083.410976992,1201569.1618562273
Incidence,Global,Female,15-49 years,Ischemic heart disease,Number,2019,770693.0071374569,949516.4642981385,614366.4884670784
Incidence,Global,Both,15-49 years,Ischemic heart disease,Number,2019,2255592.1011987743,2770648.6546491073,1818857.5678437853
Incidence,Global,Male,50-69 years,Ischemic heart disease,Number,2019,6131276.526020387,7351455.1201443,5068446.676550875
Incidence,Global,Female,50-69 years,Ischemic heart disease,Number,2019,3110046.2110618874,3761456.569009504,2519905.5710096424
Incidence,Global,Both,50-69 years,Ischemic heart disease,Number,2019,9241322.73708227,11052816.82266772,7598662.039378292
Incidence,Global,Male,70+ years,Ischemic heart disease,Number,2019,4915858.811154997,5682561.150312281,4202888.952622907
Incidence,Global,Female,70+ years,Ischemic heart disease,Number,2019,4790705.568229311,5502232.714284925,4111841.9463833733
Incidence,Global,Both,70+ years,Ischemic heart disease,Number,2019,9706564.379384309,11173320.896381862,8340867.301383058
Incidence,Global,Male,<1 year,Ischemic heart disease,Number,2019,0.0,0.0,0.0
Incidence,Global,Female,<1 year,Ischemic heart disease,Number,2019,0.0,0.0,0.0
Incidence,Global,Both,<1 year,Ischemic heart disease,Number,2019,0.0,0.0,0.0
Incidence,Global,Male,80 to 84,Ischemic heart disease,Number,2019,1089171.9085014663,1318378.701543856,889450.0083387281
