"location","sex","age","cause","metric","year","measure","lower","upper","val"
"Colombia","Both","20 plus","Hypertensive heart disease","Number",2019,"Prevalence",67130.803872963,129801.530494213,93728.8788426819
"Colombia","Both","20 to 24","Hypertensive heart disease","Number",2019,"Incidence",8.12859901217456,32.9072349397219,18.1897294396622
"Colombia","Both","20 to 24","Hypertensive heart disease","Number",2019,"Prevalence",17.7847737866733,71.9985976022822,39.7977834606754
"Colombia","Both","20 to 54 years","Hypertensive heart disease","Number",2019,"Incidence",494.96103989188,1315.94675344322,815.960685390295
"Colombia","Both","20 to 54 years","Hypertensive heart disease","Number",2019,"Prevalence",4093.53031548953,10883.418076636,6748.32872224128
"Colombia","Both","25 plus","Hypertensive heart disease","Number",2019,"Incidence",6353.95666007712,12289.7563817463,8871.97136627184
"Colombia","Both","25 plus","Hypertensive heart disease","Number",2019,"Prevalence",67098.5439420887,129781.30049256,93689.0810592213
"Colombia","Both","25 to 29","Hypertensive heart disease","Number",2019,"Incidence",14.9695806469654,68.2683374197365,35.9255169558966
"Colombia","Both","25 to 29","Hypertensive heart disease","Number",2019,"Prevalence",55.2356702596391,251.900668684047,132.560160186267
"Colombia","Both","25 to 49","Hypertensive heart disease","Number",2019,"Incidence",233.676971697979,680.762971647233,416.400793713677
"Colombia","Both","25 to 49","Hypertensive heart disease","Number",2019,"Prevalence",1931.24387419708,5626.22542230288,3441.38096375928
"Colombia","Both","30 to 34","Hypertensive heart disease","Number",2019,"Incidence",8.88254558457505,62.6013380975863,31.179592577389
"Colombia","Both","30 to 34","Hypertensive heart disease","Number",2019,"Prevalence",53.0280033513042,373.724394074556,186.139381322993
"Colombia","Both","35 to 39","Hypertensive heart disease","Number",2019,"Incidence",13.991494303323,81.9175796807647,41.0508991455243
"Colombia","Both","35 to 39","Hypertensive heart disease","Number",2019,"Prevalence",130.925966393478,766.547021483736,384.135427241143
"Colombia","Both","40 to 44","Hypertensive heart disease","Number",2019,"Incidence",38.7463392892629,162.867452686582,86.4388781514481
"Colombia","Both","40 to 44","Hypertensive heart disease","Number",2019,"Prevalence",362.495429590926,1523.72348745634,808.687964944081
"Colombia","Both","45 to 49","Hypertensive heart disease","Number",2019,"Incidence",116.778674256657,350.007208870196,211.063684186793
"Colombia","Both","45 to 49","Hypertensive heart disease","Number",2019,"Prevalence",1067.76427751105,3200.28632695012,1929.85803006479
"Colombia","Both","5-14 years","Hypertensive heart disease","Number",2019,"Incidence",0,0,0
"Colombia","Both","5-14 years","Hypertensive heart disease","Number",2019,"Prevalence",0,0,0
"Colombia","Both","5 to 19","Hypertensive heart disease","Number",2019,"Incidence",0.535093851713826,2.69692795057872,1.36595182791104
"Colombia","Both","5 to 19","Hypertensive heart disease","Number",2019,"Prevalence",1.41874311157184,7.15061094429366,3.62167261010539
"Colombia","Both","5 to 9","Hypertensive heart disease","Number",2019,"Incidence",0,0,0
"Colombia","Both","5 to 9","Hypertensive heart disease","Number",2019,"Prevalence",0,0,0
"Colombia","Both","50-69 years","Hypertensive heart disease","Number",2019,"Incidence",1427.25638323871,3573.07072075757,2323.99982592307
"Colombia","Both","50-69 years","Hypertensive heart disease","Number",2019,"Prevalence",14377.9669916845,35994.5791697427,23411.6260948007
"Colombia","Both","50 to 54","Hypertensive heart disease","Number",2019,"Incidence",202.164318715784,645.540639156078,370.426140551697
"Colombia","Both","50 to 54","Hypertensive heart disease","Number",2019,"Prevalence",1783.08460590485,5693.65347691948,3267.14997502133
"Colombia","Both","50 to 74 years","Hypertensive heart disease","Number",2019,"Incidence",2289.89273252658,5355.21342146123,3596.74696314928
"Colombia","Both","50 to 74 years","Hypertensive heart disease","Number",2019,"Prevalence",24551.5427458006,57416.9913561069,38563.2416563701
"Colombia","Both","55 plus","Hypertensive heart disease","Number",2019,"Incidence",5546.84394443758,11220.5363498935,7908.99600604497
"Colombia","Both","55 plus","Hypertensive heart disease","Number",2019,"Prevalence",61002.3746820278,123399.787231425,86980.5501204407
"Colombia","Both","55 to 59","Hypertensive heart disease","Number",2019,"Incidence",196.718847963503,732.42043877523,402.373222579818
"Colombia","Both","55 to 59","Hypertensive heart disease","Number",2019,"Prevalence",1769.85095203755,6589.48049095224,3620.09354177101
"Colombia","Both","55 to 89 years","Hypertensive heart disease","Number",2019,"Incidence",4571.95281873798,9724.81967697448,6654.18573274658
"Colombia","Both","55 to 89 years","Hypertensive heart disease","Number",2019,"Prevalence",52936.6069686578,112599.359068445,77045.8551949993
"Colombia","Both","60 to 64","Hypertensive heart disease","Number",2019,"Incidence",290.478426278168,900.209893709456,536.798202943855
"Colombia","Both","60 to 64","Hypertensive heart disease","Number",2019,"Prevalence",2877.37026959706,8917.14134417767,5317.32152956746
"Colombia","Both","60 to 79","Hypertensive heart disease","Number",2019,"Incidence",2416.32056501219,5909.44049951478,3860.23499551218
"Colombia","Both","60 to 79","Hypertensive heart disease","Number",2019,"Prevalence",29369.8235775789,71827.8971035754,46920.2730911728
"Colombia","Both","60 to 89 years","Hypertensive heart disease","Number",2019,"Incidence",4082.92380904211,9132.08821854752,6117.61256583105
"Colombia","Both","60 to 89 years","Hypertensive heart disease","Number",2019,"Prevalence",49004.7035873857,109606.570490663,73425.7616532283
"Colombia","Both","65 to 69","Hypertensive heart disease","Number",2019,"Incidence",545.892890471126,1530.06196314372,940.571613033195
"Colombia","Both","65 to 69","Hypertensive heart disease","Number",2019,"Prevalence",6504.4010096059,18230.9327554028,11207.0610484409
"Colombia","Both","65 to 74","Hypertensive heart disease","Number",2019,"Incidence",1255.92361389505,3391.83325841329,2110.88583588914
"Colombia","Both","65 to 74","Hypertensive heart disease","Number",2019,"Prevalence",15682.7450460347,42353.894489957,26358.6766100103
"Colombia","Both","65 to 89 years","Hypertensive heart disease","Number",2019,"Incidence",3518.48734334253,8192.48344348915,5453.18879332255
"Colombia","Both","65 to 89 years","Hypertensive heart disease","Number",2019,"Prevalence",43944.688810947,102321.281954919,68108.4401236609
"Colombia","Both","70 to 74","Hypertensive heart disease","Number",2019,"Incidence",680.573364971601,1869.08052672551,1157.10360048316
"Colombia","Both","70 to 74","Hypertensive heart disease","Number",2019,"Prevalence",8911.72232390222,24474.5497142482,15151.6155615694
"Colombia","Both","70 to 89 years","Hypertensive heart disease","Number",2019,"Incidence",2810.71368156499,6907.14340439818,4492.56189835225
"Colombia","Both","70 to 89 years","Hypertensive heart disease","Number",2019,"Prevalence",35599.6173865285,87483.7106473073,56901.37907522
"Colombia","Both","70+ years","Hypertensive heart disease","Number",2019,"Incidence",3854.14450998727,8538.4016775349,5828.39740270285
"Colombia","Both","70+ years","Hypertensive heart disease","Number",2019,"Prevalence",44196.6924834766,97912.5490143226,66836.0740006613
"Colombia","Both","75 plus","Hypertensive heart disease","Number",2019,"Incidence",3038.53010353901,7121.11330111973,4711.19839172208
"Colombia","Both","75 plus","Hypertensive heart disease","Number",2019,"Prevalence",33334.3599217199,78122.5611509972,51684.4584390919
"Colombia","Both","75 to 79","Hypertensive heart disease","Number",2019,"Incidence",568.428628585808,1910.60852528324,1085.63932006893
"Colombia","Both","75 to 79","Hypertensive heart disease","Number",2019,"Prevalence",7981.73218704896,26828.2855510704,15244.274951595
"Colombia","Both","75 to 84","Hypertensive heart disease","Number",2019,"Incidence",1176.13983768014,3822.03703349254,2221.80798432689
"Colombia","Both","75 to 84","Hypertensive heart disease","Number",2019,"Prevalence",15760.6621239454,51216.5580828363,29772.9605132068
"Colombia","Both","75 to 94 years","Hypertensive heart disease","Number",2019,"Incidence",2661.01303707965,6438.89529690337,4211.01457406973
"Colombia","Both","75 to 94 years","Hypertensive heart disease","Number",2019,"Prevalence",30772.0309897751,74459.5696658727,48696.2931658083
"Colombia","Both","80 plus","Hypertensive heart disease","Number",2019,"Incidence",2378.45681938156,5551.35608009513,3709.96886314614
"Colombia","Both","80 plus","Hypertensive heart disease","Number",2019,"Prevalence",23361.7601959745,54526.720203131,36440.1834874968
"Colombia","Both","80 to 84","Hypertensive heart disease","Number",2019,"Incidence",610.078111297711,1964.81778840602,1140.46281624419
"Colombia","Both","80 to 84","Hypertensive heart disease","Number",2019,"Prevalence",7771.96145355837,25030.3819002376,14528.6855616118
"Colombia","Both","85 plus","Hypertensive heart disease","Number",2019,"Incidence",1590.34078438918,4196.3717023952,2684.78771676415
"Colombia","Both","85 plus","Hypertensive heart disease","Number",2019,"Prevalence",12979.3311333356,34248.0670926552,21911.497925885
"Colombia","Both","85 to 89","Hypertensive heart disease","Number",2019,"Incidence",709.237837418425,1812.33623910283,1169.04840485549
"Colombia","Both","85 to 89","Hypertensive heart disease","Number",2019,"Prevalence",7266.08224598813,18567.2329872285,11976.8030004437
"Colombia","Both","90 to 94","Hypertensive heart disease","Number",2019,"Incidence",519.621947839684,1642.90669508604,980.908730561033
"Colombia","Both","90 to 94","Hypertensive heart disease","Number",2019,"Prevalence",3679.82173684582,11634.6197332919,6946.52965215775
"Colombia","Both","95 plus","Hypertensive heart disease","Number",2019,"Incidence",243.355985869264,1218.30042927839,591.634402675486
"Colombia","Both","95 plus","Hypertensive heart disease","Number",2019,"Prevalence",1229.11700660364,6153.26461533203,2988.1652732836
"Colombia","Both","All Ages","Hypertensive heart disease","Number",2019,"Incidence",6398.32450800145,12371.4488231828,8933.54133065885
"Colombia","Both","All Ages","Hypertensive heart disease","Number",2019,"Prevalence",67132.4990891403,129803.712802476,93732.5005152921
"Colombia","Both","Early Neonatal","Hypertensive heart disease","Number",2019,"Incidence",0,0,0
"Colombia","Both","Early Neonatal","Hypertensive heart disease","Number",2019,"Prevalence",0,0,0
"Colombia","Both","Late Neonatal","Hypertensive heart disease","Number",2019,"Incidence",0,0,0
"Colombia","Both","Late Neonatal","Hypertensive heart disease","Number",2019,"Prevalence",0,0,0
"Colombia","Both","Neonatal","Hypertensive heart disease","Number",2019,"Incidence",0,0,0
"Colombia","Both","Neonatal","Hypertensive heart disease","Number",2019,"Prevalence",0,0,0
"Colombia","Both","Post Neonatal","Hypertensive heart disease","Number",2019,"Incidence",0,0,0
"Colombia","Both","Post Neonatal","Hypertensive heart disease","Number",2019,"Prevalence",0,0,0
"Colombia","Both","Under 5","Hypertensive heart disease","Number",2019,"Incidence",0,0,0
"Colombia","Both","Under 5","Hypertensive heart disease","Number",2019,"Prevalence",0,0,0
"Colombia","Female","<1 year","Hypertensive heart disease","Number",2019,"Incidence",0,0,0
"Colombia","Female","<1 year","Hypertensive heart disease","Number",2019,"Prevalence",0,0,0
"Colombia","Female","<20 years","Hypertensive heart disease","Number",2019,"Incidence",0.21294759815524,1.20386706820198,0.584612642390315
"Colombia","Female","<20 years","Hypertensive heart disease","Number",2019,"Prevalence",0.657202932450445,3.71539747034895,1.80424266934642
"Colombia","Female","<70 years","Hypertensive heart disease","Number",2019,"Incidence",890.176614551086,2030.22905251951,1393.41020512998
"Colombia","Female","<70 years","Hypertensive heart disease","Number",2019,"Prevalence",9003.7758697342,20534.9444754026,14093.7797921344
"Colombia","Female","0 to 14","Hypertensive heart disease","Number",2019,"Incidence",0,0,0
"Colombia","Female","0 to 14","Hypertensive heart disease","Number",2019,"Prevalence",0,0,0
"Colombia","Female","0 to 9","Hypertensive heart disease","Number",2019,"Incidence",0,0,0
"Colombia","Female","0 to 9","Hypertensive heart disease","Number",2019,"Prevalence",0,0,0
"Colombia","Female","1 to 4","Hypertensive heart disease","Number",2019,"Incidence",0,0,0
"Colombia","Female","1 to 4","Hypertensive heart disease","Number",2019,"Prevalence",0,0,0
"Colombia","Female","10 to 14","Hypertensive heart disease","Number",2019,"Incidence",0,0,0
"Colombia","Female","10 to 14","Hypertensive heart disease","Number",2019,"Prevalence",0,0,0
"Colombia","Female","10 to 24","Hypertensive heart disease","Number",2019,"Incidence",3.68128603841414,15.5332965753831,8.38534714005736
"Colombia","Female","10 to 24","Hypertensive heart disease","Number",2019,"Prevalence",9.92416412433442,41.8753074326362,22.6055678339238
"Colombia","Female","10 to 54","Hypertensive heart disease","Number",2019,"Incidence",252.94799025531,648.459953675344,414.444751659763
"Colombia","Female","10 to 54","Hypertensive heart disease","Number",2019,"Prevalence",2361.59567837458,6054.20988976023,3869.37620440009
"Colombia","Female","15-49 years","Hypertensive heart disease","Number",2019,"Incidence",127.634219963313,352.647631810891,221.891496202398
"Colombia","Female","15-49 years","Hypertensive heart disease","Number",2019,"Prevalence",1162.5686644716,3212.12513745374,2021.12020171216
"Colombia","Female","15 to 19","Hypertensive heart disease","Number",2019,"Incidence",0.21294759815524,1.20386706820198,0.584612642390315
"Colombia","Female","15 to 19","Hypertensive heart disease","Number",2019,"Prevalence",0.657202932450445,3.71539747034895,1.80424266934642
"Colombia","Female","15 to 39","Hypertensive heart disease","Number",2019,"Incidence",29.1813149948997,114.168292474513,64.7850334414361
"Colombia","Female","15 to 39","Hypertensive heart disease","Number",2019,"Prevalence",201.758595146234,789.355596344034,447.921463989216
"Colombia","Female","20 plus","Hypertensive heart disease","Number",2019,"Incidence",3172.97883794704,6221.0927277648,4429.35761157641
"Colombia","Female","20 plus","Hypertensive heart disease","Number",2019,"Prevalence",32582.3796865955,63882.5582123009,45483.7611086844
"Colombia","Female","20 to 24","Hypertensive heart disease","Number",2019,"Incidence",3.40573075151446,14.6723401111226,8.08358855710968
"Colombia","Female","20 to 24","Hypertensive heart disease","Number",2019,"Prevalence",8.76389394199737,37.7560183104939,20.8013251645774
"Colombia","Female","20 to 54 years","Hypertensive heart disease","Number",2019,"Incidence",250.64643492934,642.858107610881,410.806367526021
"Colombia","Female","20 to 54 years","Hypertensive heart disease","Number",2019,"Prevalence",2359.73246928574,6052.24307339793,3867.57196173074
"Colombia","Female","25 plus","Hypertensive heart disease","Number",2019,"Incidence",3156.83096449111,6191.85365042477,4407.0440195643
"Colombia","Female","25 plus","Hypertensive heart disease","Number",2019,"Prevalence",32565.7920694467,63875.0128759849,45462.9597835199
"Colombia","Female","25 to 29","Hypertensive heart disease","Number",2019,"Incidence",6.59103951913091,32.2497375336898,16.64032424856
"Colombia","Female","25 to 29","Hypertensive heart disease","Number",2019,"Prevalence",28.2310306277889,138.133495544842,71.2745693837656
"Colombia","Female","25 to 49","Hypertensive heart disease","Number",2019,"Incidence",117.821705342479,328.590076230404,205.973822465125
"Colombia","Female","25 to 49","Hypertensive heart disease","Number",2019,"Prevalence",1143.19576875019,3188.23075687113,1998.51463387824
"Colombia","Female","30 to 34","Hypertensive heart disease","Number",2019,"Incidence",5.74957312072187,32.3489648327469,16.5296926002824
"Colombia","Female","30 to 34","Hypertensive heart disease","Number",2019,"Prevalence",41.0169318922828,230.774573950291,117.921324131457
"Colombia","Female","35 to 39","Hypertensive heart disease","Number",2019,"Incidence",7.94059521919164,39.7062784271628,20.4380096045043
"Colombia","Female","35 to 39","Hypertensive heart disease","Number",2019,"Prevalence",91.7375713389451,458.726008475052,236.12000264007
"Colombia","Female","40 to 44","Hypertensive heart disease","Number",2019,"Incidence",18.9476430100699,78.0962703932647,41.8590134847044
"Colombia","Female","40 to 44","Hypertensive heart disease","Number",2019,"Prevalence",214.49072568813,884.063822676274,473.851558959172
"Colombia","Female","45 to 49","Hypertensive heart disease","Number",2019,"Incidence",57.388411312605,168.875661516557,103.65138931485
"Colombia","Female","45 to 49","Hypertensive heart disease","Number",2019,"Prevalence",608.67286475637,1791.12873717646,1099.34717876377
"Colombia","Female","5-14 years","Hypertensive heart disease","Number",2019,"Incidence",0,0,0
"Colombia","Female","5-14 years","Hypertensive heart disease","Number",2019,"Prevalence",0,0,0
"Colombia","Female","5 to 19","Hypertensive heart disease","Number",2019,"Incidence",0.21294759815524,1.20386706820198,0.584612642390315
"Colombia","Female","5 to 19","Hypertensive heart disease","Number",2019,"Prevalence",0.657202932450445,3.71539747034895,1.80424266934642
"Colombia","Female","5 to 9","Hypertensive heart disease","Number",2019,"Incidence",0,0,0
"Colombia","Female","5 to 9","Hypertensive heart disease","Number",2019,"Prevalence",0,0,0
"Colombia","Female","50-69 years","Hypertensive heart disease","Number",2019,"Incidence",717.911607971641,1756.97171307307,1164.06247079139
"Colombia","Female","50-69 years","Hypertensive heart disease","Number",2019,"Prevalence",7445.56471540735,18221.8067622364,12072.6595904223
"Colombia","Female","50 to 54","Hypertensive heart disease","Number",2019,"Incidence",104.556889545192,328.127724789268,190.672122743314
"Colombia","Female","50 to 54","Hypertensive heart disease","Number",2019,"Prevalence",1013.50892801688,3180.66442154487,1848.25600268793
"Colombia","Female","50 to 74 years","Hypertensive heart disease","Number",2019,"Incidence",1125.03320179272,2636.0556753318,1756.58487729213
"Colombia","Female","50 to 74 years","Hypertensive heart disease","Number",2019,"Prevalence",12198.4399889768,28582.0604333251,19046.1891942815
"Colombia","Female","55 plus","Hypertensive heart disease","Number",2019,"Incidence",2751.07864585391,5719.65166401512,3992.72451586684
"Colombia","Female","55 plus","Hypertensive heart disease","Number",2019,"Prevalence",28674.5075521808,59615.9601190677,41616.1891469537
"Colombia","Female","55 to 59","Hypertensive heart disease","Number",2019,"Incidence",106.095104755107,392.838918486286,215.388595093315
"Colombia","Female","55 to 59","Hypertensive heart disease","Number",2019,"Prevalence",1010.5500192987,3741.76902481911,2051.56448481467
"Colombia","Female","55 to 89 years","Hypertensive heart disease","Number",2019,"Incidence",2233.29173403378,4932.91802547179,3304.21951459778
"Colombia","Female","55 to 89 years","Hypertensive heart disease","Number",2019,"Prevalence",24885.0254096981,54966.3031197904,36818.1126213501
"Colombia","Female","60 to 64","Hypertensive heart disease","Number",2019,"Incidence",146.313227240356,477.476146638304,279.494029989248
"Colombia","Female","60 to 64","Hypertensive heart disease","Number",2019,"Prevalence",1476.14360095496,4817.22241907028,2819.79511801752
"Colombia","Female","60 to 79","Hypertensive heart disease","Number",2019,"Incidence",1179.68705509038,2911.29383478218,1873.90020111124
"Colombia","Female","60 to 79","Hypertensive heart disease","Number",2019,"Prevalence",13944.6540645594,34413.3516012953,22150.6966133509
"Colombia","Female","60 to 89 years","Hypertensive heart disease","Number",2019,"Incidence",2029.96346751973,4573.7503039106,3057.77460455703
"Colombia","Female","60 to 89 years","Hypertensive heart disease","Number",2019,"Prevalence",23080.4528573672,52003.0187537114,34766.5481365354
"Colombia","Female","65 to 69","Hypertensive heart disease","Number",2019,"Incidence",267.154715789062,749.28254506798,458.096932656064
"Colombia","Female","65 to 69","Hypertensive heart disease","Number",2019,"Prevalence",3121.80860085911,8755.6631248603,5353.04398490214
"Colombia","Female","65 to 74","Hypertensive heart disease","Number",2019,"Incidence",606.696430511475,1642.41071385832,1022.74558335309
"Colombia","Female","65 to 74","Hypertensive heart disease","Number",2019,"Prevalence",7312.16865510202,19795.0466439268,12326.5735887613
"Colombia","Female","65 to 89 years","Hypertensive heart disease","Number",2019,"Incidence",1773.80206686242,4105.88211760811,2747.22455493182
"Colombia","Female","65 to 89 years","Hypertensive heart disease","Number",2019,"Prevalence",20627.0784934786,47746.2250761045,31946.7530185179
"Colombia","Female","70 to 74","Hypertensive heart disease","Number",2019,"Incidence",328.081472355169,914.731256663885,561.217732339668
"Colombia","Female","70 to 74","Hypertensive heart disease","Number",2019,"Prevalence",4076.64570826813,11366.1866515297,6973.5296038592
"Colombia","Female","70 to 89 years","Hypertensive heart disease","Number",2019,"Incidence",1407.32698021343,3526.06652433558,2289.8658043176
"Colombia","Female","70 to 89 years","Hypertensive heart disease","Number",2019,"Prevalence",16344.2085367559,40950.5164034266,26593.7090336158
"Colombia","Female","70+ years","Hypertensive heart disease","Number",2019,"Incidence",1965.22476052024,4436.44505978803,3025.18616924297
"Colombia","Female","70+ years","Hypertensive heart disease","Number",2019,"Prevalence",20392.7661990328,46036.1525442828,31391.7855592194
"Colombia","Female","75 plus","Hypertensive heart disease","Number",2019,"Incidence",1585.7321188403,3764.4710119008,2480.26228202395
"Colombia","Female","75 plus","Hypertensive heart disease","Number",2019,"Prevalence",15611.5798861728,37061.3291067415,24418.2559553602
"Colombia","Female","75 to 79","Hypertensive heart disease","Number",2019,"Incidence",275.298703190501,939.398493972935,533.763991236904
"Colombia","Female","75 to 79","Hypertensive heart disease","Number",2019,"Prevalence",3612.61235500707,12327.2742162294,7004.32790657206
"Colombia","Female","75 to 84","Hypertensive heart disease","Number",2019,"Incidence",596.412955091637,1955.24396475805,1125.07288498123
"Colombia","Female","75 to 84","Hypertensive heart disease","Number",2019,"Prevalence",7342.37395828376,24070.7923031706,13850.6479132201
"Colombia","Female","75 to 94 years","Hypertensive heart disease","Number",2019,"Incidence",1398.30259612573,3394.42581013149,2210.39933729503
"Colombia","Female","75 to 94 years","Hypertensive heart disease","Number",2019,"Prevalence",14548.2351481051,35316.3221003918,22997.4609353385
"Colombia","Female","80 plus","Hypertensive heart disease","Number",2019,"Incidence",1257.66853386957,3037.41395498125,1982.06266778467
"Colombia","Female","80 plus","Hypertensive heart disease","Number",2019,"Prevalence",11049.5746244532,26685.9917832702,17413.9280487881
"Colombia","Female","80 to 84","Hypertensive heart disease","Number",2019,"Incidence",309.03753637575,1023.01943166262,592.91264353552
"Colombia","Female","80 to 84","Hypertensive heart disease","Number",2019,"Prevalence",3568.43439107358,11812.7324126828,6846.32000664799
"Colombia","Female","85 plus","Hypertensive heart disease","Number",2019,"Incidence",834.75140353235,2303.0986762863,1439.35145548989
"Colombia","Female","85 plus","Hypertensive heart disease","Number",2019,"Prevalence",6128.68081072933,16909.1739203347,10567.6080421401
"Colombia","Female","85 to 89","Hypertensive heart disease","Number",2019,"Incidence",370.131230632823,997.713706729262,630.476549349843
"Colombia","Female","85 to 89","Hypertensive heart disease","Number",2019,"Prevalence",3387.09473428102,9130.142400048,5769.53151653653
"Colombia","Female","90 to 94","Hypertensive heart disease","Number",2019,"Incidence",268.957442489004,867.885965167882,525.374703638876
"Colombia","Female","90 to 94","Hypertensive heart disease","Number",2019,"Prevalence",1728.94695921844,5579.05662152002,3377.2815055819
"Colombia","Female","95 plus","Hypertensive heart disease","Number",2019,"Incidence",124.632527428928,606.845752038262,300.956644781408
"Colombia","Female","95 plus","Hypertensive heart disease","Number",2019,"Prevalence",588.381341213956,2864.87584629845,1420.79502002169
"Colombia","Female","All Ages","Hypertensive heart disease","Number",2019,"Incidence",3177.38265976154,6229.50933774938,4435.4687786956
"Colombia","Female","All Ages","Hypertensive heart disease","Number",2019,"Prevalence",32583.9395626057,63883.3837474103,45485.5653513538
"Colombia","Female","Early Neonatal","Hypertensive heart disease","Number",2019,"Incidence",0,0,0
"Colombia","Female","Early Neonatal","Hypertensive heart disease","Number",2019,"Prevalence",0,0,0
"Colombia","Female","Late Neonatal","Hypertensive heart disease","Number",2019,"Incidence",0,0,0
"Colombia","Female","Late Neonatal","Hypertensive heart disease","Number",2019,"Prevalence",0,0,0
"Colombia","Female","Neonatal","Hypertensive heart disease","Number",2019,"Incidence",0,0,0
"Colombia","Female","Neonatal","Hypertensive heart disease","Number",2019,"Prevalence",0,0,0
"Colombia","Female","Post Neonatal","Hypertensive heart disease","Number",2019,"Incidence",0,0,0
"Colombia","Female","Post Neonatal","Hypertensive heart disease","Number",2019,"Prevalence",0,0,0
"Colombia","Female","Under 5","Hypertensive heart disease","Number",2019,"Incidence",0,0,0
"Colombia","Female","Under 5","Hypertensive heart disease","Number",2019,"Prevalence",0,0,0
"Colombia","Male","<1 year","Hypertensive heart disease","Number",2019,"Incidence",0,0,0
"Colombia","Male","<1 year","Hypertensive heart disease","Number",2019,"Prevalence",0,0,0
"Colombia","Male","<20 years","Hypertensive heart disease","Number",2019,"Incidence",0.296487594173104,1.58517368551776,0.7840961319696
"Colombia","Male","<20 years","Hypertensive heart disease","Number",2019,"Prevalence",0.687218580405755,3.67422054503249,1.81742994075896
"Colombia","Male","<70 years","Hypertensive heart disease","Number",2019,"Incidence",881.853522864107,2054.38625980684,1381.8294634166
"Colombia","Male","<70 years","Hypertensive heart disease","Number",2019,"Prevalence",8170.37081139024,19033.8838562802,12802.6467224963
"Colombia","Male","0 to 14","Hypertensive heart disease","Number",2019,"Incidence",0,0,0
"Colombia","Male","0 to 14","Hypertensive heart disease","Number",2019,"Prevalence",0,0,0
"Colombia","Male","0 to 9","Hypertensive heart disease","Number",2019,"Incidence",0,0,0
"Colombia","Male","0 to 9","Hypertensive heart disease","Number",2019,"Prevalence",0,0,0
"Colombia","Male","1 to 4","Hypertensive heart disease","Number",2019,"Incidence",0,0,0
"Colombia","Male","1 to 4","Hypertensive heart disease","Number",2019,"Prevalence",0,0,0
"Colombia","Male","10 to 14","Hypertensive heart disease","Number",2019,"Incidence",0,0,0
"Colombia","Male","10 to 14","Hypertensive heart disease","Number",2019,"Prevalence",0,0,0
"Colombia","Male","10 to 24","Hypertensive heart disease","Number",2019,"Incidence",4.73792065157735,18.750168735358,10.4011287670338
"Colombia","Male","10 to 24","Hypertensive heart disease","Number",2019,"Prevalence",9.48113931918472,37.521304198914,20.813888236857
"Colombia","Male","10 to 54","Hypertensive heart disease","Number",2019,"Incidence",217.694706502841,640.402363273884,382.074877181098
